REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2017,40,1.27764,1.29698,3906,2535,X,4597,1091,892,13021,2220,1003945
National,X,2017,41,1.30844,1.33068,4117,2687,X,4460,1077,950,13291,2247,998809
National,X,2017,42,1.34526,1.40893,4411,2821,X,5006,1143,976,14357,2267,1019002
National,X,2017,43,1.52233,1.57206,5008,2925,X,5532,1326,1054,15845,2264,1007914
National,X,2017,44,1.75088,1.70189,5217,3302,X,6133,1367,1062,17081,2221,1003649
National,X,2017,45,1.89129,1.85744,6100,3589,X,6648,1519,1116,18972,2280,1021407
National,X,2017,46,2.06068,2.06245,6856,4221,X,7549,1791,1367,21784,2292,1056219
National,X,2017,47,2.28711,2.32335,6915,3816,X,5863,1694,1427,19715,2267,848560
National,X,2017,48,2.28614,2.24046,6992,5231,X,7431,2209,1829,23692,2270,1057462
National,X,2017,49,2.59117,2.48184,7199,5018,X,8432,2319,1844,24812,2262,999742
National,X,2017,50,3.37325,3.19697,8276,6661,X,11237,2954,2325,31453,2255,983839
National,X,2017,51,4.76248,4.42155,10396,9801,X,14062,4567,3709,42535,2194,961992
National,X,2017,52,5.71645,5.43315,11296,11443,X,11467,5715,5044,44965,2114,827605
National,X,2018,1,5.77069,5.35748,9394,13374,X,11686,6867,5875,47196,2223,880936
National,X,2018,2,5.94992,5.53476,10048,15392,X,17321,7781,6091,56633,2236,1023224
National,X,2018,3,6.53772,6.34687,11963,16008,X,21757,7589,5568,62885,2270,990803
National,X,2018,4,7.18528,7.03819,13319,18317,X,30376,8905,6075,76992,2262,1093918
National,X,2018,5,7.50093,7.79721,14668,18905,X,36643,8794,5916,84926,2229,1089184
National,X,2018,6,7.39713,7.8189,15100,19354,X,38068,8543,5844,86909,2251,1111524
National,X,2018,7,6.41063,6.83164,13146,17008,X,31462,7986,5402,75004,2170,1097891
National,X,2018,8,4.93773,5.19035,9962,12273,X,19938,5706,4131,52010,2201,1002051
National,X,2018,9,3.69564,3.59765,6937,8274,X,12724,3964,2815,34714,2061,964907
National,X,2018,10,3.20056,3.04708,6120,6279,X,10111,3002,2226,27738,2018,910314
National,X,2018,11,2.69146,2.74911,4942,5375,X,8083,2532,1849,22781,1812,828669
